full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Ciprian Tătărușanu,36,508320000,1986/02/09,Serie A,2022/2023,Goalkeeper,AC Milan,1260,540,720,Romania,14,6,8,0,0,0,1,1,0,0,0,2,1,1,20,9,11,0,0,0.07,0.07,0,0,0,0,1.43,63,90,0,1260,0,327,178,117,23
Ciro Immobile,32,635500800,1990/02/20,Serie A,2022/2023,Forward,Lazio,1100,567,533,Italy,16,9,7,7,2,5,3,1,2,1,1,8,4,4,8,5,3,3,0,0.82,0.25,0.57,0.32,0.84,157,0.65,138,69,367,367,0.25,10,42,-1,2
Cosimo Marco Da Graca,20,1020236400,2002/05/01,Serie A,2022/2023,Forward,Juventus,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Costantino Favasuli,18,1082962800,2004/04/26,Serie A,2022/2023,Midfielder,Fiorentina,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cristian Buonaiuto,30,725616000,1992/12/29,Serie A,2022/2023,Midfielder,Cremonese,516,233,283,Italy,16,9,7,0,0,0,0,0,0,0,0,3,3,0,8,2,6,1,0,0,0,0,0,0,0,1.4,65,32,516,0,0.17,376,379,-1,18
Cristian Volpato,19,1068883200,2003/11/15,Serie A,2022/2023,Midfielder,Roma,190,83,107,Italy,5,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.95,0.47,0.47,0,0.84,190,0,0,38,0,190,0,-1,-1,-1,7
Cristiano Biraghi,30,715330800,1992/09/01,Serie A,2022/2023,Defender,Fiorentina,1625,901,724,Italy,20,11,9,0,0,0,2,0,2,0,1,4,2,2,24,15,9,0,0,0.11,0.11,0,0,0,0,1.33,68,81,0,813,0,295,124,101,13
Cyriel Dessers,28,786873600,1994/12/08,Serie A,2022/2023,Forward,Cremonese,1211,702,509,Nigeria,18,10,8,3,2,1,1,1,0,0,1,2,2,0,24,13,11,2,0,0.3,0.07,0.22,0.26,0.18,404,1.78,50,67,606,1211,0.15,76,176,-1,2
Cyril Ngonge,22,959324400,2000/05/26,Serie A,2022/2023,Forward,Hellas Verona,85,68,17,Belgium,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.06,0,1.06,1.32,0,85,1.06,85,43,0,0,0,-1,-1,-1,7
Daniel Ciofani,37,491641200,1985/07/31,Serie A,2022/2023,Forward,Cremonese,457,267,190,Italy,18,10,8,3,1,2,0,0,0,1,1,3,3,0,6,3,3,0,0,0.59,0,0.59,0.34,0.95,152,1.18,76,25,0,0,0,8,381,-1,3
Daniel Maldini,21,1002783600,2001/10/11,Serie A,2022/2023,Forward,Spezia,314,128,186,Italy,9,5,4,1,0,1,0,0,0,0,0,0,0,0,6,2,4,0,0,0.29,0,0.29,0,0.48,314,1.72,52,35,0,0,0,53,337,-1,6
Daniele Montevago,19,1047974400,2003/03/18,Serie A,2022/2023,Forward,Sampdoria,228,108,120,Italy,6,3,3,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,1.58,57,38,228,0,0.39,-1,-1,-1,11
Daniele Padelli,37,499071600,1985/10/25,Serie A,2022/2023,Goalkeeper,Udinese,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniele Rugani,28,775465200,1994/07/29,Serie A,2022/2023,Defender,Juventus,259,169,90,Italy,3,2,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,-1,-1,-1,12
Daniele Verde,26,835254000,1996/06/20,Serie A,2022/2023,Forward,Spezia,422,286,136,Italy,11,6,5,0,0,0,0,0,0,0,0,1,1,0,7,5,2,0,0,0,0,0,0,0,0,1.49,60,38,0,0,0,353,336,-1,27
Danilo,31,679561200,1991/07/15,Serie A,2022/2023,Defender,Juventus,1812,912,900,Brazil,21,11,10,2,2,0,2,1,1,0,0,13,7,6,15,6,9,3,0,0.2,0.1,0.1,0.2,0,906,0.75,121,86,604,906,0.15,157,130,18,7
Danilo Cataldi,28,776156400,1994/08/06,Serie A,2022/2023,Midfielder,Lazio,1356,698,658,Italy,19,10,9,0,0,0,1,0,1,0,0,9,4,5,13,8,5,4,0,0.07,0.07,0,0,0,0,0.86,104,71,339,1356,0.27,381,170,-1,14
Danilo D'Ambrosio,34,589791600,1988/09/09,Serie A,2022/2023,Defender,Inter Milan,105,18,87,Italy,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.86,105,26,105,0,0.86,-1,-1,-1,15
Dany Mota Carvalho,24,894092400,1998/05/02,Serie A,2022/2023,Forward,Monza,1001,589,412,Portugal,15,9,6,3,2,1,0,0,0,0,0,6,4,2,11,7,4,1,0,0.27,0,0.27,0.31,0.22,334,0.99,91,67,1001,0,0.09,57,285,-1,4
Darko Lazović,32,653382000,1990/09/15,Serie A,2022/2023,Midfielder,Hellas Verona,1331,670,661,Serbia,17,9,8,3,3,0,3,1,2,0,0,2,2,0,18,11,7,0,0,0.41,0.2,0.2,0.4,0,444,1.22,74,78,0,444,0,84,58,-1,1
David Okereke,25,872838000,1997/08/29,Serie A,2022/2023,Forward,Cremonese,1450,678,772,Nigeria,20,10,10,5,1,4,0,0,0,1,0,3,3,0,26,12,14,4,0,0.31,0,0.31,0.13,0.47,290,1.61,56,73,363,0,0.25,47,375,-1,1
Dávid Strelec,21,986367600,2001/04/04,Serie A,2022/2023,Forward,Spezia,162,94,68,Slovakia,7,3,4,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,1.67,54,23,0,0,0,-1,-1,-1,25
David Zima,22,973670400,2000/11/08,Serie A,2022/2023,Defender,Torino,402,127,275,Czech Republic,9,4,5,0,0,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,0,0,0.67,134,45,0,0,0,225,250,9,23
Davide Bragantini,19,1061103600,2003/08/17,Serie A,2022/2023,Forward,Hellas Verona,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Davide Calabria,26,849859200,1996/12/06,Serie A,2022/2023,Defender,AC Milan,1006,490,516,Italy,13,6,7,1,0,1,2,2,0,0,0,1,1,0,19,10,9,4,0,0.27,0.18,0.09,0,0.17,1006,1.7,53,77,252,503,0.36,160,67,149,12
Davide Faraoni,31,688374000,1991/10/25,Serie A,2022/2023,Defender,Hellas Verona,480,270,210,Italy,8,3,5,0,0,0,2,2,0,0,0,0,0,0,13,9,4,3,0,0.38,0.38,0,0,0,0,2.44,37,60,160,240,0.56,361,12,162,30
Davide Frattesi,23,937983600,1999/09/22,Serie A,2022/2023,Midfielder,Sassuolo,1739,820,919,Italy,21,10,11,5,3,2,0,0,0,0,0,6,4,2,25,7,18,3,0,0.26,0,0.26,0.33,0.2,348,1.29,70,83,580,0,0.16,63,261,-1,1
Davide Marfella,23,937378800,1999/09/15,Serie A,2022/2023,Goalkeeper,Napoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Davide Merola,22,954144000,2000/03/27,Serie A,2022/2023,Forward,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Davide Zappacosta,30,708246000,1992/06/11,Serie A,2022/2023,Defender,Atalanta,227,104,123,Italy,5,2,3,0,0,0,1,0,1,0,0,1,0,1,2,2,0,2,0,0.4,0.4,0,0,0,0,0.79,114,45,114,227,0.79,-1,-1,-1,22
Demba Seck,21,981792000,2001/02/10,Serie A,2022/2023,Forward,Torino,361,80,281,Senegal,10,5,5,0,0,0,0,0,0,0,0,4,3,1,3,0,3,0,0,0,0,0,0,0,0,0.75,120,36,0,0,0,259,227,-1,20
Denis Zakaria,26,848476800,1996/11/20,Serie A,2022/2023,Midfielder,Juventus,122,122,0,Switzerland,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.74,122,61,0,0,0,-1,-1,-1,21
Dennis Curatolo,18,1080979200,2004/04/03,Serie A,2022/2023,Forward,Inter Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Denso Kasius,20,1033887600,2002/10/06,Serie A,2022/2023,Defender,Bologna,343,223,120,Netherlands,7,4,3,0,0,0,2,2,0,0,0,0,0,0,7,3,4,1,0,0.52,0.52,0,0,0,0,1.84,49,49,343,172,0.26,394,3,158,16
Denzel Dumfries,26,829810800,1996/04/18,Serie A,2022/2023,Defender,Inter Milan,1199,561,638,Aruba,18,8,10,1,0,1,2,0,2,0,0,5,5,0,13,3,10,3,0,0.23,0.15,0.08,0,0.14,1199,0.98,92,67,400,600,0.23,178,88,52,8
Devis Stiven Vásquez Llach,24,894956400,1998/05/12,Serie A,2022/2023,Goalkeeper,AC Milan,0,0,0,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Deyovaisio Zeefuik,24,889603200,1998/03/11,Serie A,2022/2023,Defender,Hellas Verona,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Coppola,19,1072598400,2003/12/28,Serie A,2022/2023,Defender,Hellas Verona,620,260,360,Italy,8,3,5,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,0,0,0,0,0,0,0,1.02,89,78,207,0,0.44,271,204,56,21
Diego Demme,31,690710400,1991/11/21,Serie A,2022/2023,Midfielder,Napoli,19,19,0,Germany,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,18
Diego Llorente,29,745484400,1993/08/16,Serie A,2022/2023,Defender,Roma,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Martín Valencia Morello,23,947836800,2000/01/14,Serie A,2022/2023,Forward,Salernitana,160,71,89,Chile,9,5,4,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1.13,80,18,0,0,0,-1,-1,-1,23
Dimitrije Kamenović,22,963730800,2000/07/16,Serie A,2022/2023,Defender,Lazio,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dimitrios Keramitsis,18,1088665200,2004/07/01,Serie A,2022/2023,Defender,Roma,0,0,0,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dimitrios Nikolaou,24,902991600,1998/08/13,Serie A,2022/2023,Defender,Spezia,1599,892,707,Greece,19,10,9,0,0,0,0,0,0,0,0,3,2,1,26,13,13,6,1,0,0,0,0,0,0,1.46,62,84,228,0,0.39,396,398,122,32
Dimo Nikolaev Krastev,19,1044864000,2003/02/10,Serie A,2022/2023,Defender,Fiorentina,0,0,0,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Divock Origi,27,798188400,1995/04/18,Serie A,2022/2023,Forward,AC Milan,557,233,324,Belgium,14,7,7,2,2,0,1,1,0,0,0,2,1,1,8,3,5,1,0,0.48,0.16,0.32,0.77,0,279,1.29,70,40,557,557,0.16,44,82,-1,7
Djavan Anderson,27,798447600,1995/04/21,Serie A,2022/2023,Defender,Lazio,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Domagoj Bradarić,23,944812800,1999/12/10,Serie A,2022/2023,Defender,Salernitana,993,483,510,Croatia,16,8,8,0,0,0,1,0,1,0,0,2,1,1,28,11,17,4,0,0.09,0.09,0,0,0,0,2.54,35,62,248,993,0.36,339,139,163,19
Domen Črnigoj,27,816681600,1995/11/18,Serie A,2022/2023,Midfielder,Salernitana,47,19,28,Slovenia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,-1,-1,-1,28
Domenico Berardi,28,775724400,1994/08/01,Serie A,2022/2023,Forward,Sassuolo,915,411,504,Italy,13,6,7,4,2,2,3,0,3,2,1,3,3,0,13,3,10,5,0,0.69,0.3,0.39,0.44,0.36,229,1.28,70,70,183,305,0.49,32,23,-1,3
Domilson Cordeiro dos Santos,24,911289600,1998/11/17,Serie A,2022/2023,Defender,Fiorentina,1195,671,524,Brazil,17,9,8,0,0,0,1,0,1,0,0,3,1,2,16,12,4,5,1,0.08,0.08,0,0,0,0,1.21,75,70,239,1195,0.38,300,155,87,22
Dorian Ciężkowski,21,985248000,2001/03/22,Serie A,2022/2023,Goalkeeper,Cremonese,0,0,0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Duccio Degl'Innocenti,19,1051513200,2003/04/28,Serie A,2022/2023,Midfielder,Empoli,1,0,1,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,18
Dušan Vlahović,22,949046400,2000/01/28,Serie A,2022/2023,Forward,Juventus,958,531,427,Serbia,12,7,5,8,5,3,2,1,1,2,0,7,4,3,6,3,3,0,0,0.94,0.19,0.75,0.85,0.63,120,0.56,160,80,0,479,0,3,64,-1,1
Duván Zapata,31,670492800,1991/04/01,Serie A,2022/2023,Forward,Atalanta,669,266,403,Colombia,14,7,7,1,0,1,1,1,0,0,0,4,1,3,8,4,4,1,0,0.27,0.13,0.13,0,0.22,669,1.08,84,48,669,669,0.13,130,103,-1,14
Dylan Bronn,27,803545200,1995/06/19,Serie A,2022/2023,Defender,Salernitana,1246,630,616,Tunisia,18,9,9,0,0,0,0,0,0,0,0,3,2,1,21,11,10,1,0,0,0,0,0,0,0,1.52,59,69,1246,0,0.07,347,335,131,26
Eddy Anthony Salcedo Mora,21,1001919600,2001/10/01,Serie A,2022/2023,Forward,Inter Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ederson Jose dos Santos Lourenco da Silva,23,931330800,1999/07/07,Serie A,2022/2023,Midfielder,Atalanta,993,412,581,Brazil,18,8,10,1,1,0,0,0,0,0,0,5,1,4,14,7,7,2,0,0.09,0,0.09,0.22,0,993,1.27,71,55,497,0,0.18,164,262,-1,7
Edin Džeko,36,511430400,1986/03/17,Serie A,2022/2023,Forward,Inter Milan,1304,735,569,Bosnia and Herzegovina,21,11,10,7,2,5,3,2,1,0,0,7,7,0,13,3,10,3,0,0.69,0.21,0.48,0.24,0.79,186,0.9,100,62,435,435,0.21,21,55,-1,2
Edoardo Bove,20,1021532400,2002/05/16,Serie A,2022/2023,Midfielder,Roma,171,113,58,Italy,10,4,6,0,0,0,0,0,0,0,0,6,4,2,2,0,2,2,0,0,0,0,0,0,0,1.05,86,17,86,0,1.05,-1,-1,-1,19
Edoardo Piana,19,1064818800,2003/09/29,Serie A,2022/2023,Goalkeeper,Udinese,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eldor Shomurodov,27,804409200,1995/06/29,Serie A,2022/2023,Forward,Spezia,191,105,86,Uzbekistan,7,4,3,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1.88,48,27,0,0,0,-1,-1,-1,18
Elia Tantalocchi,18,1088578800,2004/06/30,Serie A,2022/2023,Goalkeeper,Sampdoria,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Elio Capradossi,26,826531200,1996/03/11,Serie A,2022/2023,Defender,Spezia,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eljif Elmas,23,938156400,1999/09/24,Serie A,2022/2023,Midfielder,Napoli,815,397,418,FYR Macedonia,20,10,10,5,3,2,1,1,0,1,0,9,4,5,5,4,1,1,0,0.66,0.11,0.55,0.68,0.43,163,0.55,163,41,815,815,0.11,13,123,-1,3
Elseid Hysaj,28,760176000,1994/02/02,Serie A,2022/2023,Defender,Lazio,736,345,391,Albania,17,10,7,0,0,0,1,1,0,0,0,9,4,5,5,2,3,2,0,0.12,0.12,0,0,0,0,0.61,147,43,368,736,0.24,370,114,6,17
Emanuel Aiwu,22,977731200,2000/12/25,Serie A,2022/2023,Defender,Cremonese,1029,613,416,Austria,15,9,6,0,0,0,0,0,0,0,0,3,3,0,17,9,8,2,0,0,0,0,0,0,0,1.49,61,69,515,0,0.17,377,380,126,20
Emanuel Quartsin Gyasi,29,758275200,1994/01/11,Serie A,2022/2023,Forward,Spezia,1489,780,709,Ghana,18,9,9,1,1,0,0,0,0,0,0,3,2,1,25,11,14,5,0,0.06,0,0.06,0.12,0,1489,1.51,60,83,298,0,0.3,194,365,-1,5
Emanuel Vignato,22,967100400,2000/08/24,Serie A,2022/2023,Midfielder,Empoli,238,127,111,Italy,8,4,4,0,0,0,1,1,0,0,0,0,0,0,4,0,4,1,0,0.38,0.38,0,0,0,0,1.51,60,30,238,238,0.38,-1,-1,-1,21
Emanuele Valeri,24,913017600,1998/12/07,Serie A,2022/2023,Defender,Cremonese,1496,877,619,Italy,20,11,9,1,0,1,1,1,0,0,0,3,3,0,24,14,10,2,0,0.12,0.06,0.06,0,0.15,1496,1.44,62,75,748,1496,0.12,198,182,119,4
Emil Audero Mulyadi,26,853574400,1997/01/18,Serie A,2022/2023,Goalkeeper,Sampdoria,1890,900,990,Italy,21,10,11,0,0,0,0,0,0,0,0,2,1,1,33,14,19,1,0,0,0,0,0,0,0,1.57,57,90,1890,0,0.05,216,265,137,7
Emil Bohinen,23,921225600,1999/03/12,Serie A,2022/2023,Midfielder,Salernitana,333,163,170,Norway,10,5,5,0,0,0,0,0,0,0,0,1,1,0,7,4,3,0,0,0,0,0,0,0,0,1.89,48,33,0,0,0,242,194,-1,13
Emil Holm,22,958201200,2000/05/13,Serie A,2022/2023,Defender,Spezia,1371,623,748,Sweden,19,9,10,1,1,0,1,1,0,0,0,3,2,1,20,8,12,4,0,0.13,0.07,0.07,0.14,0,1371,1.31,69,72,343,1371,0.26,180,167,99,4
Emil Konradsen Ceide,21,999500400,2001/09/03,Serie A,2022/2023,Forward,Sassuolo,303,173,130,Norway,12,5,7,0,0,0,0,0,0,0,0,2,1,1,4,1,3,0,0,0,0,0,0,0,0,1.19,76,25,0,0,0,254,220,-1,23
Emil Kornvig,22,956905200,2000/04/28,Serie A,2022/2023,Midfielder,Spezia,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Emirhan İlkhan,18,1086073200,2004/06/01,Serie A,2022/2023,Midfielder,Sampdoria,86,64,22,Turkey,4,2,2,0,0,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,1.05,86,22,86,0,1.05,-1,-1,-1,8
Emmanuel Ekong,20,1024988400,2002/06/25,Serie A,2022/2023,Forward,Empoli,18,0,18,Sweden,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,18,9,0,0,0,-1,-1,-1,19
Enzo Barrenechea,21,990774000,2001/05/25,Serie A,2022/2023,Midfielder,Juventus,0,0,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Enzo Ebosse,23,921139200,1999/03/11,Serie A,2022/2023,Defender,Udinese,896,464,432,Cameroon,18,8,10,0,0,0,0,0,0,0,0,3,1,2,14,7,7,3,0,0,0,0,0,0,0,1.41,64,50,299,0,0.3,322,330,113,18
Enzo Joaquín Sosa Romañuk,21,1010649600,2002/01/10,Serie A,2022/2023,Defender,Bologna,247,23,224,Uruguay,5,2,3,0,0,0,0,0,0,0,0,2,2,0,7,0,7,2,0,0,0,0,0,0,0,2.55,35,49,124,0,0.73,-1,-1,-1,14
Erik Botheim,23,947491200,2000/01/10,Serie A,2022/2023,Forward,Salernitana,326,154,172,Norway,14,7,7,1,1,0,1,1,0,0,0,3,2,1,5,3,2,1,0,0.55,0.28,0.28,0.58,0,326,1.38,65,23,326,326,0.28,55,32,-1,8
Ethan Ampadu,22,968914800,2000/09/14,Serie A,2022/2023,Defender,Spezia,1366,705,661,Wales,16,8,8,0,0,0,1,1,0,0,0,2,1,1,22,11,11,5,0,0.07,0.07,0,0,0,0,1.45,62,85,273,1366,0.33,236,162,120,13
Etrit Berisha,33,605520000,1989/03/10,Serie A,2022/2023,Goalkeeper,Torino,0,0,0,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fabiano Parisi,22,973756800,2000/11/09,Serie A,2022/2023,Defender,Empoli,1672,682,990,Italy,19,8,11,2,1,1,0,0,0,0,0,7,5,2,17,3,14,5,0,0.11,0,0.11,0.13,0.09,836,0.92,98,88,334,0,0.27,144,342,42,2
Fabio Depaoli,25,861865200,1997/04/24,Serie A,2022/2023,Defender,Hellas Verona,1305,596,709,Italy,19,10,9,2,1,1,2,1,1,0,0,3,3,0,20,7,13,4,0,0.28,0.14,0.14,0.15,0.13,653,1.38,65,69,326,653,0.28,122,97,106,2
Fabio Miretti,19,1059894000,2003/08/03,Serie A,2022/2023,Midfielder,Juventus,825,436,389,Italy,18,9,9,0,0,0,1,1,0,0,0,11,6,5,4,3,1,1,0,0.11,0.11,0,0,0,0,0.44,206,46,825,825,0.11,246,122,-1,19
Fabio Quagliarella,39,412848000,1983/01/31,Serie A,2022/2023,Forward,Sampdoria,352,210,142,Italy,15,9,6,0,0,0,0,0,0,0,0,1,1,0,7,4,3,2,0,0,0,0,0,0,0,1.79,50,23,176,0,0.51,313,308,-1,22
Federico Baschirotto,26,843202800,1996/09/20,Serie A,2022/2023,Defender,Lecce,1890,900,990,Italy,21,10,11,3,2,1,0,0,0,0,0,3,0,3,23,12,11,4,0,0.14,0,0.14,0.2,0.09,630,1.1,82,90,473,0,0.19,121,299,72,4
Federico Bonazzoli,25,864198000,1997/05/21,Serie A,2022/2023,Forward,Salernitana,899,548,351,Italy,18,10,8,2,2,0,1,1,0,0,0,3,2,1,11,6,5,1,0,0.3,0.1,0.2,0.33,0,450,1.1,82,50,899,899,0.1,82,134,-1,4
Federico Brancolini,21,995094000,2001/07/14,Serie A,2022/2023,Goalkeeper,Lecce,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Federico Ceccherini,30,705567600,1992/05/11,Serie A,2022/2023,Defender,Hellas Verona,1042,556,486,Italy,15,8,7,1,0,1,0,0,0,0,0,2,2,0,12,6,6,8,1,0.09,0,0.09,0,0.19,1042,1.04,87,69,116,0,0.78,158,254,60,12
Federico Chiesa,25,877762800,1997/10/25,Serie A,2022/2023,Forward,Juventus,236,100,136,Italy,7,4,3,0,0,0,2,2,0,0,0,5,3,2,5,0,5,1,0,0.76,0.76,0,0,0,0,1.91,47,34,236,118,0.38,-1,-1,-1,25
Federico Di Francesco,28,771577200,1994/06/14,Serie A,2022/2023,Forward,Lecce,1043,424,619,Italy,21,10,11,1,1,0,2,2,0,0,0,3,0,3,11,5,6,3,0,0.26,0.17,0.09,0.21,0,1043,0.95,95,50,348,522,0.26,166,71,-1,5
Federico Dimarco,25,879148800,1997/11/10,Serie A,2022/2023,Defender,Inter Milan,1484,803,681,Italy,21,11,10,3,3,0,1,1,0,0,0,7,7,0,15,4,11,0,0,0.24,0.06,0.18,0.34,0,495,0.91,99,71,0,1484,0,100,188,40,5
Federico Fazio,35,542966400,1987/03/17,Serie A,2022/2023,Defender,Salernitana,1062,630,432,Argentina,12,7,5,1,0,1,0,0,0,0,0,3,2,1,18,8,10,3,1,0.08,0,0.08,0,0.21,1062,1.53,59,89,266,0,0.34,171,347,132,7
Federico Gatti,24,898671600,1998/06/24,Serie A,2022/2023,Defender,Juventus,540,270,270,Italy,6,3,3,0,0,0,0,0,0,0,0,4,2,2,3,2,1,2,0,0,0,0,0,0,0,0.5,180,90,270,0,0.33,249,243,3,17
Federico Magro,18,1105344000,2005/01/10,Serie A,2022/2023,Goalkeeper,Lazio,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Federico Marchetti,39,413452800,1983/02/07,Serie A,2022/2023,Goalkeeper,Spezia,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Federico Ravaglia,23,942307200,1999/11/11,Serie A,2022/2023,Goalkeeper,Bologna,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Felipe Anderson Pereira Gomes,29,734857200,1993/04/15,Serie A,2022/2023,Midfielder,Lazio,1636,945,691,Brazil,21,11,10,6,3,3,2,2,0,0,0,11,5,6,13,9,4,1,0,0.44,0.11,0.33,0.29,0.39,273,0.72,126,78,1636,818,0.06,40,118,-1,3
Felix Ohene Afena-Gyan,20,1042963200,2003/01/19,Serie A,2022/2023,Forward,Cremonese,352,209,143,Ghana,12,6,6,0,0,0,0,0,0,0,0,1,1,0,4,3,1,1,0,0,0,0,0,0,0,1.02,88,29,352,0,0.26,357,361,-1,9
